iter	Logloss
0	0.6796179551
1	0.6684191369
2	0.657470036
3	0.6424787393
4	0.6302732058
5	0.6183316315
6	0.6064201916
7	0.5966902012
8	0.5830000047
9	0.5743561758
10	0.5647073821
11	0.5568357403
12	0.5454388844
13	0.5354415038
14	0.5245696307
15	0.5154073928
16	0.5056939028
17	0.4982423123
18	0.48828597
19	0.4807537033
20	0.4728502361
21	0.4630158578
22	0.4546641886
23	0.4468281345
24	0.4409695347
25	0.4342775236
26	0.4247786358
27	0.4179756058
28	0.409284267
29	0.401820577
30	0.3958760188
31	0.3892788895
32	0.3799031438
33	0.3729357659
34	0.3665422162
35	0.3609929471
36	0.3545345504
37	0.3485902441
38	0.3429829056
39	0.3374572281
40	0.3310121961
41	0.3258182261
42	0.3201275623
43	0.3142732522
44	0.3089284209
45	0.3043326124
46	0.2992938326
47	0.2946271731
48	0.2896168684
49	0.2851195129
50	0.2816390363
51	0.2778412055
52	0.2734082
53	0.269924918
54	0.2653227818
55	0.2607971442
56	0.256706251
57	0.2533375294
58	0.2501214021
59	0.2460257881
60	0.2416034639
61	0.2375100092
62	0.2343552373
63	0.2306082773
64	0.2272136651
65	0.2245228499
66	0.2213127767
67	0.218395657
68	0.214858243
69	0.2120890926
70	0.2087110762
71	0.2057186958
72	0.2021814043
73	0.1998257562
74	0.1959388009
75	0.193253209
76	0.191173245
77	0.1882993804
78	0.1855158808
79	0.1828404957
80	0.1799621115
81	0.1775718905
82	0.1753893583
83	0.1726293658
84	0.1697139545
85	0.1673169925
86	0.1652071338
87	0.1633214545
88	0.1613030856
89	0.1593010806
90	0.157194017
91	0.1556270622
92	0.1533112076
93	0.1515123803
94	0.1495784743
95	0.1471669259
96	0.1456005504
97	0.1438124704
98	0.1413837337
99	0.1394506075
100	0.1375821041
101	0.1358877035
102	0.1343341678
103	0.1325607917
104	0.1312837151
105	0.1292617313
106	0.1274381939
107	0.1258980834
108	0.1245809264
109	0.1232437851
110	0.1219824727
111	0.1203763355
112	0.1191195539
113	0.118078689
114	0.1167104854
115	0.1148706398
116	0.113661771
117	0.1123617323
118	0.1111470191
119	0.1096273587
120	0.1078567852
121	0.1067805065
122	0.1056144429
123	0.104299547
124	0.1029637224
125	0.1018947395
126	0.1007442953
127	0.09943509671
128	0.09840164156
129	0.09710133381
130	0.09585354876
131	0.09477496561
132	0.09353733854
133	0.09289032975
134	0.09195104095
135	0.0906868981
136	0.08956267015
137	0.08853524803
138	0.08770298255
139	0.08671505314
140	0.08580581547
141	0.084734192
142	0.08385620277
143	0.08323171295
144	0.08244709656
145	0.08189594218
146	0.08099664248
147	0.08017885266
148	0.07935352957
149	0.07871258264
150	0.07777891251
151	0.07697751477
152	0.07624973479
153	0.07552372476
154	0.07483529353
155	0.07422384697
156	0.0736944125
157	0.07318286748
158	0.07222981063
159	0.07145360733
160	0.0708467329
161	0.06983355327
162	0.06915890374
163	0.06830662775
164	0.06768947005
165	0.06703659929
166	0.0664348009
167	0.06593397254
168	0.06520235125
169	0.06450843509
170	0.06388111326
171	0.06327060778
172	0.0626745842
173	0.0622173487
174	0.06170515449
175	0.06121635827
176	0.06039023455
177	0.05989432234
178	0.05943424172
179	0.05898494405
180	0.05851885905
181	0.05798070444
182	0.05756564647
183	0.05713754776
184	0.05667764294
185	0.05613466684
186	0.0555376476
187	0.05495837324
188	0.05440602879
189	0.05380514633
190	0.05325114782
191	0.05279448797
192	0.05232870554
193	0.05186797027
194	0.05125699558
195	0.05080951644
196	0.05040555462
197	0.05001074803
198	0.04969900075
199	0.04921266073
200	0.04884069962
201	0.04834433388
202	0.04792395532
203	0.04743376642
204	0.04697148858
205	0.04642953978
206	0.04618038763
207	0.04584488478
208	0.04534619391
209	0.04497733179
210	0.04441232811
211	0.04408848874
212	0.04375644662
213	0.04348196802
214	0.04313324731
215	0.04271476048
216	0.04232392382
217	0.04203300517
218	0.04173194676
219	0.04138250799
220	0.04105902598
221	0.04066586638
222	0.04033656121
223	0.04009053271
224	0.03974747863
225	0.03949751581
226	0.0390824938
227	0.03867365651
228	0.03829981699
229	0.03797014062
230	0.03772739642
231	0.0374993292
232	0.03727701084
233	0.03699149883
234	0.03667453984
235	0.03644454019
236	0.03614145723
237	0.0357628004
238	0.03550620987
239	0.03523084346
240	0.03493178704
241	0.03468773157
242	0.03436337921
243	0.03413636218
244	0.03393532784
245	0.0335846482
246	0.03338052298
247	0.03304858253
248	0.03278064386
249	0.03253349624
250	0.03226794364
251	0.03193389336
252	0.03174599694
253	0.03146872534
254	0.03129083563
255	0.03102976048
256	0.03078785683
257	0.03051782236
258	0.03028252416
259	0.02992975551
260	0.02974913167
261	0.02945177187
262	0.02922966241
263	0.02899848938
264	0.02883224107
265	0.02854961795
266	0.02840110817
267	0.02809343693
268	0.02795783393
269	0.02783428663
270	0.02769004684
271	0.02748564484
272	0.02735834784
273	0.02719057433
274	0.02702449211
275	0.02683768882
276	0.02657661223
277	0.02637048064
278	0.02624020121
279	0.02606764862
280	0.02598058798
281	0.02579573694
282	0.02561474942
283	0.0254789805
284	0.02527747395
285	0.02515909033
286	0.02491397868
287	0.02471473606
288	0.0245533995
289	0.02441484508
290	0.02427349279
291	0.02410304816
292	0.02395046286
293	0.02376605352
294	0.02367527379
295	0.02356062692
296	0.02341314146
297	0.02322264169
298	0.02308607881
299	0.02297819536
300	0.02281183522
301	0.02266294995
302	0.02253354979
303	0.02234838495
304	0.02222391681
